timestamp,open,high,low,close,volume,time,day_of_week,hour_of_day,sma15,sma60,rsi
1591660800000,9782.0,9877.0,9570.0,9772.43,46024.001289,2020-06-09,1,0,,,
1591747200000,9772.44,9992.72,9704.18,9885.0,47130.762982,2020-06-10,2,0,,,
1591833600000,9885.22,9964.0,9113.0,9280.4,94418.98473,2020-06-11,3,0,,,
1591920000000,9278.88,9557.12,9232.51,9465.13,50119.066932,2020-06-12,4,0,,,
1592006400000,9464.96,9494.73,9351.0,9473.34,27759.784851,2020-06-13,5,0,,,
1592092800000,9473.34,9480.99,9245.0,9342.1,30055.506608,2020-06-14,6,0,,,
1592179200000,9342.1,9495.0,8910.45,9426.02,86107.924707,2020-06-15,0,0,,,
1592265600000,9426.05,9589.0,9373.09,9525.59,52052.446927,2020-06-16,1,0,,,
1592352000000,9526.97,9565.0,9236.61,9465.14,48046.411152,2020-06-17,2,0,,,
1592438400000,9465.13,9489.0,9280.0,9386.32,37381.953765,2020-06-18,3,0,,,
1592524800000,9386.32,9438.3,9215.79,9310.23,45330.983673,2020-06-19,4,0,,,
1592611200000,9310.23,9395.0,9170.95,9358.95,30329.065384,2020-06-20,5,0,,,
1592697600000,9358.95,9422.0,9281.54,9294.69,24316.926234,2020-06-21,6,0,,,
1592784000000,9294.69,9780.0,9277.09,9685.69,57895.468343,2020-06-22,0,0,,,
1592870400000,9685.69,9720.0,9577.03,9624.89,41031.02938,2020-06-23,1,0,9486.394666666667,,
1592956800000,9624.33,9670.0,9208.0,9296.49,61571.561464,2020-06-24,2,0,9454.665333333334,,
1593043200000,9298.33,9340.0,9009.69,9249.49,55831.619156,2020-06-25,3,0,9412.298,,
1593129600000,9249.49,9298.0,9045.45,9162.21,50292.298277,2020-06-26,4,0,9404.418666666666,,
1593216000000,9162.21,9196.24,8833.0,9012.0,46290.930113,2020-06-27,5,0,9374.21,,
1593302400000,9012.0,9191.0,8948.06,9116.35,30688.176421,2020-06-28,6,0,9350.410666666667,,
1593388800000,9116.16,9238.0,9024.67,9192.56,42120.293261,2020-06-29,0,0,9340.441333333332,,
1593475200000,9192.93,9205.0,9064.89,9138.55,31463.162801,2020-06-30,1,0,9321.276666666667,,
1593561600000,9138.08,9292.0,9080.1,9232.0,38488.528699,2020-07-01,2,0,9301.704,,
1593648000000,9231.99,9261.96,8940.0,9086.54,45725.168076,2020-07-02,3,0,9276.464,,
1593734400000,9086.54,9125.0,9037.47,9058.26,28943.420177,2020-07-03,4,0,9254.593333333332,,
1593820800000,9057.79,9190.0,9040.04,9135.46,26441.968484,2020-07-04,5,0,9242.942000000001,,
1593907200000,9135.0,9145.24,8893.03,9069.41,34073.653627,2020-07-05,6,0,9223.639333333333,,
1593993600000,9069.41,9375.0,9055.92,9344.2,54463.132277,2020-07-06,0,0,9226.94,,
1594080000000,9342.47,9379.42,9203.0,9257.39,34587.336678,2020-07-07,1,0,9198.386666666665,,
1594166400000,9257.4,9470.0,9231.0,9436.06,56140.517781,2020-07-08,2,0,9185.798,,
1594252800000,9436.06,9440.79,9160.0,9232.43,48044.450645,2020-07-09,3,0,9181.527333333333,,
1594339200000,9232.42,9317.48,9125.0,9288.34,38295.494006,2020-07-10,4,0,9184.117333333334,,
1594425600000,9288.34,9299.28,9178.25,9234.03,22561.366,2020-07-11,5,0,9188.905333333332,,
1594512000000,9234.02,9345.0,9157.5,9302.75,30872.702286,2020-07-12,6,0,9208.288666666665,,
1594598400000,9303.31,9343.82,9200.89,9242.62,42740.069115,2020-07-13,0,0,9216.706666666667,,
1594684800000,9242.61,9279.54,9113.0,9255.85,45772.552509,2020-07-14,1,0,9220.926,,
1594771200000,9255.85,9276.49,9160.57,9197.6,39053.579665,2020-07-15,2,0,9224.862666666666,,
1594857600000,9197.6,9226.15,9047.25,9133.72,43375.571191,2020-07-16,3,0,9218.310666666666,,
1594944000000,9133.72,9186.83,9089.81,9154.32,28054.358741,2020-07-17,4,0,9222.829333333333,,
1595030400000,9154.31,9219.3,9121.1,9170.28,22554.541457,2020-07-18,5,0,9230.297333333332,,
1595116800000,9170.3,9232.27,9101.35,9208.99,26052.019417,2020-07-19,6,0,9235.199333333332,,
1595203200000,9208.99,9221.52,9131.0,9160.78,35458.764082,2020-07-20,0,0,9241.290666666666,,
1595289600000,9160.78,9437.73,9152.8,9390.0,60413.582486,2020-07-21,1,0,9244.344000000001,,
1595376000000,9390.0,9544.0,9261.0,9518.16,48815.004107,2020-07-22,2,0,9261.728666666666,,
1595462400000,9518.16,9664.0,9440.33,9603.27,51856.2335,2020-07-23,3,0,9272.876,,
1595548800000,9603.27,9637.0,9463.44,9537.8,43931.136205,2020-07-24,4,0,9293.234,,
1595635200000,9538.1,9732.9,9513.0,9700.42,40679.545416,2020-07-25,5,0,9320.706,,
1595721600000,9700.42,10111.0,9650.0,9931.54,65279.269319,2020-07-26,6,0,9367.206666666667,,
1595808000000,9931.54,11394.86,9917.21,11029.96,150188.933144,2020-07-27,0,0,9482.354,,
1595894400000,11029.96,11242.23,10565.0,10906.27,97267.734187,2020-07-28,1,0,9593.264,,
1595980800000,10906.27,11342.82,10812.0,11100.53,76838.094233,2020-07-29,2,0,9716.242666666665,,
1596067200000,11100.52,11170.0,10831.0,11099.61,60794.826456,2020-07-30,3,0,9843.043333333333,,
1596153600000,11099.79,11444.0,10960.0,11335.46,70063.660974,2020-07-31,4,0,9989.826,,
1596240000000,11335.46,11861.0,11220.0,11801.17,85087.485126,2020-08-01,5,0,10166.282666666668,,
1596326400000,11801.17,12123.46,10518.5,11071.35,97553.077604,2020-08-02,6,0,10293.020666666669,,
1596412800000,11071.36,11473.0,10936.0,11219.81,56931.841475,2020-08-03,0,0,10427.075333333334,,
1596499200000,11219.68,11414.98,11000.0,11191.97,58629.113709,2020-08-04,1,0,10562.488000000001,,
1596585600000,11191.99,11780.93,11093.0,11744.91,74970.256852,2020-08-05,2,0,10719.481999999998,,
1596672000000,11744.91,11900.0,11562.5,11762.46,63529.08502,2020-08-06,3,0,10869.102,,
1596758400000,11762.47,11909.94,11322.0,11594.23,65755.926022,2020-08-07,4,0,11001.832666666665,9736.725333333334,
1596844800000,11594.36,11808.27,11512.0,11761.41,41858.16104,2020-08-08,5,0,11150.073333333334,9769.875,
1596931200000,11761.02,11797.11,11521.97,11681.68,41493.067342,2020-08-09,6,0,11282.157333333333,9799.819666666666,
1597017600000,11681.69,12067.35,11450.0,11892.92,84952.337887,2020-08-10,0,0,11412.916,9843.361666666668,
1597104000000,11892.9,11935.0,11125.0,11392.08,90748.284634,2020-08-11,1,0,11437.057333333332,9875.4775,
1597190400000,11392.09,11617.52,11150.0,11564.33,64909.613644,2020-08-12,2,0,11480.928000000002,9910.32733333333,
1597276800000,11564.34,11792.96,11270.36,11780.0,70132.491502,2020-08-13,3,0,11526.226,9950.958999999999,
1597363200000,11779.77,11850.0,11634.03,11760.54,59818.852697,2020-08-14,4,0,11570.288,9989.867666666665,
1597449600000,11760.55,11980.0,11680.0,11852.4,56237.90505,2020-08-15,5,0,11604.750666666667,10028.647833333333,
1597536000000,11852.4,11931.72,11686.0,11911.0,41368.236906,2020-08-16,6,0,11612.072666666667,10069.412166666667,
1597622400000,11910.99,12468.0,11769.78,12281.13,84734.21154,2020-08-17,0,0,11692.724666666667,10117.659000000001,
1597708800000,12281.15,12387.77,11817.93,11945.01,75923.835527,2020-08-18,1,0,11741.071333333331,10161.572000000002,
1597795200000,11945.1,12020.08,11561.0,11754.59,73940.169606,2020-08-19,2,0,11778.579333333331,10201.499333333333,
1597881600000,11754.38,11888.0,11668.0,11853.55,46085.254351,2020-08-20,3,0,11785.822000000002,10244.147,
1597968000000,11853.54,11878.0,11485.81,11531.34,64448.306142,2020-08-21,4,0,11770.413999999999,10274.907833333333,
1598054400000,11531.23,11686.0,11376.81,11662.96,43678.701646,2020-08-22,5,0,11774.996000000001,10308.875666666665,
1598140800000,11663.51,11718.07,11514.13,11648.13,37900.00469,2020-08-23,6,0,11767.444,10348.069666666666,
1598227200000,11648.12,11824.9,11585.09,11748.2,46212.391867,2020-08-24,0,0,11771.878666666667,10389.714833333333,
1598313600000,11748.19,11767.85,11117.64,11318.42,69590.923272,2020-08-25,1,0,11733.578666666666,10425.651666666667,
1598400000000,11318.42,11539.32,11244.0,11461.43,53998.231231,2020-08-26,2,0,11738.202,10466.4755,
1598486400000,11461.42,11592.2,11125.0,11330.38,63246.036383,2020-08-27,3,0,11722.605333333333,10503.376,
1598572800000,11330.38,11542.65,11276.89,11526.91,45953.908365,2020-08-28,4,0,11705.732666666667,10542.281833333334,
1598659200000,11526.9,11580.02,11417.04,11465.84,32973.7992,2020-08-29,5,0,11686.086,10581.070000000002,
1598745600000,11465.84,11719.0,11458.0,11711.16,43177.879054,2020-08-30,6,0,11676.67,10622.389333333334,
1598832000000,11711.17,11800.77,11570.0,11649.51,55353.617744,2020-08-31,0,0,11659.237333333333,10665.1055,
1598918400000,11649.51,12050.85,11515.0,11921.97,78148.193668,2020-09-01,1,0,11635.293333333333,10712.834,
1599004800000,11921.97,11954.57,11160.1,11388.54,87221.845602,2020-09-02,2,0,11598.195333333333,10750.385333333334,
1599091200000,11388.54,11462.6,9960.8,10140.85,121950.106015,2020-09-03,3,0,11490.612666666666,10768.242666666667,
1599177600000,10138.29,10627.05,9875.5,10446.25,92733.599113,2020-09-04,4,0,11396.792666666666,10786.61016666667,
1599264000000,10446.25,10565.68,9825.0,10166.69,90001.605568,2020-09-05,5,0,11305.815999999999,10801.765166666668,
1599350400000,10166.69,10347.14,9994.86,10256.2,56368.788815,2020-09-06,6,0,11212.032000000001,10815.434166666666,
1599436800000,10255.89,10410.75,9875.0,10373.44,62620.230676,2020-09-07,0,0,11127.052666666666,10834.451000000001,
1599523200000,10373.45,10438.0,9850.0,10126.65,73491.878418,2020-09-08,1,0,11018.949333333332,10848.422833333334,
1599609600000,10126.66,10343.0,9981.01,10219.2,49347.113776,2020-09-09,2,0,10945.668000000001,10864.842333333334,
1599696000000,10219.29,10483.35,10070.83,10336.87,58253.75375,2020-09-10,3,0,10870.697333333335,10882.077666666668,
1599782400000,10336.86,10397.6,10200.0,10387.89,43830.254467,2020-09-11,4,0,10807.864666666666,10901.1655,
1599868800000,10387.89,10477.97,10269.25,10440.92,35379.153096,2020-09-12,5,0,10735.465333333334,10920.916666666666,
1599955200000,10440.67,10580.11,10200.0,10332.83,43837.609865,2020-09-13,6,0,10659.931333333334,10939.837166666666,
1600041600000,10332.84,10750.0,10212.34,10671.77,67059.291361,2020-09-14,0,0,10590.638666666668,10965.471333333333,
1600128000000,10671.77,10930.04,10606.48,10785.31,61822.452786,2020-09-15,1,0,10533.025333333333,10992.654499999999,
1600214400000,10785.23,11093.0,10661.22,10954.01,64991.51244,2020-09-16,2,0,10468.494666666666,11022.383333333333,
1600300800000,10954.01,11045.46,10745.83,10939.99,55601.614529,2020-09-17,3,0,10438.591333333336,11051.233333333334,
1600387200000,10940.0,11038.03,10812.84,10933.39,47266.728275,2020-09-18,4,0,10491.427333333333,11080.776833333333,
1600473600000,10933.4,11179.79,10887.37,11080.65,38440.036858,2020-09-19,5,0,10533.720666666666,11108.954333333333,
1600560000000,11080.64,11080.64,10723.0,10920.28,39157.922565,2020-09-20,6,0,10583.960000000001,11132.323,
1600646400000,10920.28,10988.86,10296.35,10417.22,70683.431179,2020-09-21,0,0,10594.694666666666,11145.888833333333,
1600732800000,10417.22,10572.71,10353.0,10529.61,43991.235476,2020-09-22,1,0,10605.106,11162.419,
1600819200000,10529.61,10537.15,10136.82,10241.46,51876.568079,2020-09-23,2,0,10612.76,11171.436333333335,
1600905600000,10241.46,10795.24,10190.93,10736.32,57676.619427,2020-09-24,3,0,10647.234666666665,11184.849333333334,
1600992000000,10736.33,10760.53,10556.24,10686.67,48101.117008,2020-09-25,4,0,10670.554666666667,11179.127833333334,
1601078400000,10686.57,10820.94,10644.68,10728.6,28420.836659,2020-09-26,5,0,10693.268666666667,11176.166666666666,
1601164800000,10728.59,10799.0,10594.82,10774.25,30549.483253,2020-09-27,6,0,10715.490666666667,11170.728666666666,
1601251200000,10774.26,10950.0,10626.0,10696.12,50095.251734,2020-09-28,0,0,10739.710000000001,11164.003833333332,
1601337600000,10696.11,10867.54,10635.87,10840.48,41874.898399,2020-09-29,1,0,10750.957333333332,11155.754166666668,
